loading|LOADING...
loadingDone|LOADING COMPLETE!

titleText1|SlightlySimple
titleText2|Presents
titleText3|Kade Engine
titleText4|by
titleText5|KadeDeveloper
titleText6|Vs
titleText7|Dr
titleText8|Antimus

dungeon|Dungeon
risking-life|Risking Life
vengeance|Vengeance
revival|Revival
claw-marks|Claw Marks

weekScore|WEEK SCORE:

songLocked|Locked
easy|Easy
normal|Normal
hard|Hard
solo|Solo
beatInStoryMode|Beat this song in Story#Mode to unlock it#
beatStoryMode|Beat Story Mode on Hard#to unlock this song#
personalBest|PERSONAL BEST:
rate|Rate:
songLength|Length:
songBpm|BPM:
songTaps|Taps:
songJumps|Jumps:
songHolds|Holds:

botplayDisplay|BOTPLAY

optionsCatGameplay|Gameplay
optionsCatAppearance|Appearance
optionsCatMisc|Misc.
optionsCatSaves|Saves
optionsCatKeybinds|Editing Keybinds
optionsCatJudgements|Editing Judgements
optionsCatStepMania|Editing Quantization Settings

optionsKeybindLeft|LEFT (4K):
optionsKeybindDown|DOWN (4K):
optionsKeybindUp|UP (4K):
optionsKeybindRight|RIGHT (4K):
optionsKeybindLeftFive|LEFT (5K):
optionsKeybindDownFive|DOWN (5K):
optionsKeybindCenter|CENTER (5K):
optionsKeybindUpFive|UP (5K):
optionsKeybindRightFive|RIGHT (5K):
optionsKeybindPause|PAUSE:
optionsKeybindReset|RESET:
optionsKeybindMute|VOLUME MUTE:
optionsKeybindVolUp|VOLUME UP:
optionsKeybindVolDown|VOLUME DOWN:
optionsKeybindFullscreen|FULLSCREEN:
optionsKeybindEditor|CHART EDITOR:
optionsMS| ms
optionsMSSick|SICK:
optionsMSGood|GOOD:
optionsMSBad|BAD:
optionsMSShit|SHIT:
optionsRotateNotes0|Rotate Notes: < Disabled >
optionsRotateNotes1|Rotate Notes: < Enabled >
optionsQuantColor0|4TH NOTE:
optionsQuantColor1|8TH NOTE:
optionsQuantColor2|12TH NOTE:
optionsQuantColor3|16TH NOTE:
optionsQuantColor4|24TH NOTE:
optionsQuantColor5|32ND NOTE:
optionsQuantColorValue0|Purple
optionsQuantColorValue1|Blue
optionsQuantColorValue2|Yellow
optionsQuantColorValue3|Green
optionsQuantColorValue4|Red
optionsNoteskin|Current Noteskin:
optionsEditorRes|Editor Grid
optionsEditorZoom|Default Editor Zoom:
optionsDownscroll|Downscroll
optionsDFJK|Edit Keybindings
optionsJudgement|Edit Judgements
optionsFPSCap|FPS Cap:
optionsRefreshRate|Hz (Refresh Rate)
optionsScrollSpeed|Scroll Speed:
optionsAccuracyCalc0|Accuracy Mode: < Accurate >
optionsAccuracyCalc1|Accuracy Mode: < Complex >
optionsResetButton|Reset Button
optionsInstantRespawn|Instant Respawn
optionsOffsetThing|Note Offset:
optionsBotplay|Botplay
optionsCustomizeGameplay|Customize Gameplay
optionsDistractions|Distractions
optionsMiddleScroll|Middle Scroll
optionsHealthBar|Health Bar
optionsJudgementCounter|Judgement Counter
optionsLaneUnderlay|Lane Transparency:
optionsLaneBorder|Lane Border Width:
optionsStepMania|Color Quantization
optionsStepManiaAdvanced|Quantization Settings
optionsCamZoom|Camera Zoom
optionsAccuracy|Accuracy Display
optionsSongPosition|Song Position Bar
optionsColour|Colored HP Bars
optionsNPSDisplay|NPS Display
optionsRainbowFPS|FPS Rainbow
optionsColorIcons|Colored Icons
optionsFPS|FPS Counter
optionsFlashingLights|Flashing Lights
optionsWatermark|Watermarks
optionsAntialiasing|Antialiasing
optionsMissSounds|Miss Sounds
optionsScoreScreen|Score Screen
optionsShowInput|Extended Score Info
optionsGraphicLoading|Preload Characters and Noteskins
optionsExtraSongInfo|Extra Song Info
optionsSubtitles|Subtitles
optionsResetScore|Reset Score
optionsResetScoreConfirm|Confirm Score Reset
optionsResetSettings|Reset Settings
optionsResetSettingsConfirm|Confirm Settings Reset

optionsDescKeybindLeft|The left note's keybind in 4 key charts.
optionsDescKeybindDown|The down note's keybind in 4 key charts.
optionsDescKeybindUp|The up note's keybind in 4 key charts.
optionsDescKeybindRight|The right note's keybind in 4 key charts.
optionsDescKeybindLeftFive|The left note's keybind in 5 key charts.
optionsDescKeybindDownFive|The down note's keybind in 5 key charts.
optionsDescKeybindCenter|The center note's keybind.
optionsDescKeybindUpFive|The up note's keybind in 5 key charts.
optionsDescKeybindRightFive|The right note's keybind in 5 key charts.
optionsDescKeybindPause|The keybind used to pause the game.
optionsDescKeybindReset|The keybind used to die instantly.
optionsDescKeybindMute|The keybind used to mute game audio.
optionsDescKeybindVolUp|The keybind used to turn the volume up.
optionsDescKeybindVolDown|The keybind used to turn the volume down.
optionsDescKeybindFullscreen|The keybind used to fullscreen the game.
optionsDescKeybindEditor|The keybind used to enter the chart editor in Free Play.
optionsDescMSSick|How many milliseconds are in the SICK hit window (Press R to reset)
optionsDescMSGood|How many milliseconds are in the GOOD hit window (Press R to reset)
optionsDescMSBad|How many milliseconds are in the BAD hit window (Press R to reset)
optionsDescMSShit|How many milliseconds are in the SHIT hit window (Press R to reset)
optionsDescRotateNotes|Rotate notes to the proper direction (Recommended to disable if using a circle noteskin)
optionsDescQuantColor0|The color quarter notes use when quantization colors are enabled.
optionsDescQuantColor1|The color eighth notes use when quantization colors are enabled.
optionsDescQuantColor2|The color twelfth notes use when quantization colors are enabled.
optionsDescQuantColor3|The color sixteenth notes use when quantization colors are enabled.
optionsDescQuantColor4|The color twenty fourth notes use when quantization colors are enabled.
